"","id","created_at","text","url","retruth_count","like_count","reply_count","engagement_ratio","is_retruth","hour_of_day","day_of_week","is_weekend","days_since_last_post","sentiment_score","sentiment_label","emotion","readability_score","word_count","cap_ratio","all_caps_word_count","exclamation_count","question_count","ellipsis_count","link_count","hashtag_count","hashtag_list","post_length_category","mentions_media","media_outlets_mentioned","politicians_mentioned","countries_mentioned","companies_mentioned","mentions_person","toxicity_score","topic","rhetorical_device","target_entity","sentiment_toward_target","is_policy_related","has_text"
"1",113858887418016608,2025-01-20 04:52:26.003,"RT @TeamTrumpToday, President Donald J. Trump visited Arlington National Cemetery to pay his respects to generations of American heroes.","https://truthsocial.com/@realDonaldTrump/113858887418016610",0,0,0,0,"False",4,"Monday","False",0.27,0.6369,"positive","unknown",13.6,19,0.1102,2,0,0,0,0,0,"[]","short","False","[]","[]","[]","[""Arlington National Cemetery""]","[""Donald J. Trump""]",6e-04,"Military","Other","President Donald J. Trump","positive","False","True"
"2",113858887611739280,2025-01-20 04:52:28.959,"RT @TeamTrumpThe sacrifice of these American heroes must never be forgotten — and will never be forgotten.","https://truthsocial.com/@realDonaldTrump/113858887611739292",0,0,0,0,"False",4,"Monday","False",0,0.684,"positive","unknown",11.3,17,0.0667,1,0,0,0,0,0,"[]","short","False","[]","[]","[]","[]","[]",0.0016,"Military","Praise","American heroes","positive","False","True"
"3",113858887952515408,2025-01-20 04:52:34.159,"RT @TeamTrumpPresident Trump delivers remarks during a candlelight dinner at the National Building Museum in Washington, D.C.","https://truthsocial.com/@realDonaldTrump/113858887952515391",0,0,0,0,"False",4,"Monday","False",0,0,"neutral","unknown",14.6,17,0.1101,2,0,0,0,0,0,"[]","short","False","[]","[]","[""D.C."", ""Washington""]","[""RT @TeamTrumpPresident Trump"", ""the National Building Museum""]","[]",6e-04,"Other","Other","National Building Museum","neutral","False","True"
"4",113860871478605888,2025-01-20 13:17:00.367,"","https://truthsocial.com/@realDonaldTrump/113860871478605894",17032,61411,7597,0.7137,"False",13,"Monday","False",0.35,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",0.002,"Other","Other","","neutral","False","False"
"5",113864692804149600,2025-01-21 05:28:49.169,"Our first day in the White House is not over yet! My Presidential Personnel Office is actively in the process of identifying and removing over a thousand Presidential Appointees from the previous Administration, who are not aligned with our vision to Make America Great Again.Let this serve as Official Notice of Dismissal for these 4 individuals, with many more, coming soon:Jose Andres from the President’s Council on Sports, Fitness and Nutrition, Mark Milley from the National Infrastructure Advisory Council, Brian Hook from the Wilson Center for Scholars, and Keisha Lance Bottoms from the President’s Export Council—YOU’RE FIRED!","https://truthsocial.com/@realDonaldTrump/113864692804149616",18133,87225,6448,0.7801,"False",5,"Tuesday","False",0.67,0.6957,"positive","unknown",18.3,97,0.0963,1,2,0,0,0,0,"[]","short","True","[""AP""]","[]","[]","[""My Presidential Personnel Office"", ""the President\u2019s Export Council"", ""Make America Great Again"", ""the President\u2019s Council on Sports, Fitness and"", ""the National Infrastructure Advisory Council"", ""the White House"", ""the Wilson Center for Scholars""]","[""Mark Milley"", ""Brian Hook"", ""Jose Andres"", ""Keisha Lance Bottoms""]",0.0532,"Other","Policy Statement","Presidential Appointees","negative","True","True"
"6",113865263237260000,2025-01-21 07:53:53.284,"RT @TeamTrumpThanks to President Trump, American women are hereby protected from radical gender ideology 🔥","https://truthsocial.com/@realDonaldTrump/113865263237260004",0,0,0,0,"False",7,"Tuesday","False",0.1,0.128,"positive","unknown",15.2,15,0.087,1,0,0,0,0,0,"[]","short","False","[]","[]","[]","[]","[""Trump""]",0.0968,"Other","Praise","American women","positive","True","True"
"7",113865263505732736,2025-01-21 07:53:57.38,"RT @TeamTrump🚨 President Trump withdraws the United States from the World Health Organization","https://truthsocial.com/@realDonaldTrump/113865263505732740",0,0,0,0,"False",7,"Tuesday","False",0,0.4215,"positive","unknown",9.4,13,0.1358,1,0,0,0,0,0,"[]","short","False","[]","[]","[""the United States""]","[""RT @TeamTrump\ud83d\udea8"", ""the World Health Organization""]","[""Trump""]",0.0016,"Foreign Policy","Policy Statement","World Health Organization","negative","True","True"
"8",113865263826581856,2025-01-21 07:54:02.276,"RT @TeamTrump🚨 President Trump signs an order to ease the permitting process and other regulations in order to unleash American energy","https://truthsocial.com/@realDonaldTrump/113865263826581861",0,0,0,0,"False",7,"Tuesday","False",0,0.5574,"positive","unknown",14,21,0.0614,1,0,0,0,0,0,"[]","short","False","[]","[]","[]","[""RT @TeamTrump\ud83d\udea8""]","[""Trump""]",9e-04,"Economy","Policy Statement","American energy","positive","True","True"
"9",113865264053462864,2025-01-21 07:54:05.738,"RT @TeamTrump🚨 President Trump signs an Executive Order to hold former government officials accountable for unlawful disclosure of sensitive information","https://truthsocial.com/@realDonaldTrump/113865264053462863",0,0,0,0,"False",7,"Tuesday","False",0,0,"neutral","unknown",17.6,20,0.0602,1,0,0,0,0,0,"[]","short","False","[]","[]","[]","[""RT @TeamTrump\ud83d\udea8""]","[""Trump""]",9e-04,"Legal","Policy Statement","former government officials","negative","True","True"
"10",113865264398646128,2025-01-21 07:54:11.005,"RT @TeamTrump🚨 President Trump signs a declaration of a National Energy Emergency","https://truthsocial.com/@realDonaldTrump/113865264398646117",0,0,0,0,"False",7,"Tuesday","False",0,-0.128,"negative","unknown",12.7,12,0.1286,1,0,0,0,0,0,"[]","short","False","[]","[]","[]","[""RT @TeamTrump\ud83d\udea8"", ""a National Energy Emergency""]","[""Trump""]",8e-04,"Economy","Policy Statement","National Energy Emergency","neutral","True","True"
