"","game_id","team_id","home.away","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","winner","gameDate","gameType","attendance","arenaId","gameLabel","seriesGameNumber","gameSubLabel","coach","whos_favored","spread","total","moneyline_away","moneyline_home","h2_spread","h2_total","id_spread","id_total"
"1","202410220BOS","BOS","home",240,48,95,0.505,29,61,0.475,7,8,0.875,11,29,40,33,6,3,4,15,132,"True","2024-10-22 19:30:00","Regular Season",19156,17,"0",0,"0","Joe Mazzulla","home",5.5,221.5,NA,NA,NA,NA,1,1
"2","202410220BOS","NYK","away",240,43,78,0.551,11,30,0.367,12,16,0.75,5,29,34,20,2,3,12,12,109,"False","2024-10-22 19:30:00","Regular Season",19156,17,"0",0,"0","Tom Thibodeau","home",5.5,221.5,NA,NA,NA,NA,1,1
"3","202410220LAL","LAL","home",240,42,95,0.442,5,30,0.167,21,25,0.84,15,31,46,22,7,8,7,22,110,"True","2024-10-22 22:00:00","Regular Season",18997,1000069,"0",0,"0","JJ Redick","away",1.5,223.5,NA,NA,NA,NA,0,0
"4","202410220LAL","MIN","away",240,35,85,0.412,13,41,0.317,20,27,0.741,12,35,47,17,4,1,16,22,103,"False","2024-10-22 22:00:00","Regular Season",18997,1000069,"0",0,"0","Chris Finch","away",1.5,223.5,NA,NA,NA,NA,0,0
"5","202410230ATL","ATL","home",240,39,80,0.488,9,28,0.321,33,46,0.717,12,33,45,25,12,9,16,20,120,"True","2024-10-23 19:30:00","Regular Season",17548,650,"0",0,"0","Quin Snyder","home",7.5,223.5,NA,NA,NA,NA,0,1
"6","202410230ATL","BRK","away",240,40,91,0.44,17,43,0.395,19,25,0.76,12,31,43,21,8,6,19,32,116,"False","2024-10-23 19:30:00","Regular Season",17548,650,"0",0,"0","Jordi Fernandez","home",7.5,223.5,NA,NA,NA,NA,0,1
"7","202410230DET","DET","home",240,38,88,0.432,9,33,0.273,24,28,0.857,12,26,38,22,6,2,14,21,109,"False","2024-10-23 19:00:00","Regular Season",20062,624,"0",0,"0","J.B. Bickerstaff","away",5.5,235.5,NA,NA,NA,NA,1,0
"8","202410230DET","IND","away",240,42,83,0.506,9,31,0.29,22,25,0.88,7,32,39,32,10,8,15,23,115,"True","2024-10-23 19:00:00","Regular Season",20062,624,"0",0,"0","Rick Carlisle","away",5.5,235.5,NA,NA,NA,NA,1,0
"9","202410230HOU","HOU","home",240,38,103,0.369,13,43,0.302,16,20,0.8,16,27,43,19,8,4,8,18,105,"False","2024-10-23 20:00:00","Regular Season",18055,215,"0",0,"0","Ime Udoka","home",8.5,230.5,NA,NA,NA,NA,0,0
"10","202410230HOU","CHO","away",240,38,85,0.447,15,39,0.385,19,24,0.792,15,41,56,20,6,10,17,21,110,"True","2024-10-23 20:00:00","Regular Season",18055,215,"0",0,"0","Charles Lee","home",8.5,230.5,NA,NA,NA,NA,0,0
"11","202410230LAC","LAC","home",265,42,92,0.457,8,29,0.276,21,30,0.7,13,38,51,27,9,1,22,29,113,"False","2024-10-23 22:00:00","Regular Season",17927,1000137,"0",0,"0","Tyronn Lue","away",4.5,224.5,NA,NA,NA,NA,0,1
"12","202410230LAC","PHO","away",265,38,78,0.487,15,38,0.395,25,34,0.735,4,38,42,25,12,9,22,23,116,"True","2024-10-23 22:00:00","Regular Season",17927,1000137,"0",0,"0","Mike Budenholzer","away",4.5,224.5,NA,NA,NA,NA,0,1
