"","gameid","date","type","teamid","team","home","away","MIN","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","X...","win","season","at.home","div","opponent"
"1",22300061,"2023-10-24","regular",1610612743,"DEN","DEN","LAL",48,119,48,91,52.7,14,34,41.2,9,12,75,9,33,42,29,12,9,6,15,12,"Yes",2024,TRUE,"West","LAL"
"2",22300061,"2023-10-24","regular",1610612747,"LAL","DEN","LAL",48,107,41,90,45.6,10,29,34.5,15,20,75,13,31,44,23,12,5,4,18,-12,"No",2024,FALSE,"West","DEN"
"3",22300062,"2023-10-24","regular",1610612744,"GSW","GSW","PHX",48,104,36,101,35.6,10,43,23.3,22,28,78.6,18,31,49,19,11,11,6,23,-4,"No",2024,TRUE,"West","PHX"
"4",22300062,"2023-10-24","regular",1610612756,"PHX","GSW","PHX",48,108,42,95,44.2,11,33,33.3,13,17,76.5,17,43,60,23,19,5,7,22,4,"Yes",2024,FALSE,"West","GSW"
"5",22300063,"2023-10-25","regular",1610612737,"ATL","CHA","ATL",48,110,39,93,41.9,5,29,17.2,27,33,81.8,12,30,42,24,12,12,1,19,-6,"No",2024,FALSE,"East","CHA"
"6",22300063,"2023-10-25","regular",1610612766,"CHA","CHA","ATL",48,116,43,86,50,11,37,29.7,19,26,73.1,12,39,51,34,19,5,3,21,6,"Yes",2024,TRUE,"East","ATL"
"7",22300064,"2023-10-25","regular",1610612754,"IND","IND","WAS",48,143,56,107,52.3,20,43,46.5,11,12,91.7,10,41,51,38,12,10,8,23,23,"Yes",2024,TRUE,"East","WAS"
"8",22300064,"2023-10-25","regular",1610612764,"WAS","IND","WAS",48,120,44,96,45.8,9,24,37.5,23,29,79.3,11,34,45,28,14,6,9,11,-23,"No",2024,FALSE,"East","IND"
"9",22300065,"2023-10-25","regular",1610612738,"BOS","NYK","BOS",48,108,37,77,48.1,12,39,30.8,22,26,84.6,7,39,46,18,13,6,11,22,4,"Yes",2024,FALSE,"East","NYK"
"10",22300065,"2023-10-25","regular",1610612752,"NYK","NYK","BOS",48,104,36,97,37.1,18,41,43.9,14,26,53.8,17,30,47,24,11,9,0,22,-4,"No",2024,TRUE,"East","BOS"
"11",22300066,"2023-10-25","regular",1610612745,"HOU","ORL","HOU",48,86,32,79,40.5,12,34,35.3,10,16,62.5,7,24,31,19,19,6,3,24,-30,"No",2024,FALSE,"West","ORL"
"12",22300066,"2023-10-25","regular",1610612753,"ORL","ORL","HOU",48,116,42,87,48.3,9,34,26.5,23,26,88.5,17,40,57,19,16,8,6,20,30,"Yes",2024,TRUE,"East","HOU"
"13",22300067,"2023-10-25","regular",1610612751,"BKN","BKN","CLE",48,113,42,84,50,9,27,33.3,20,26,76.9,13,37,50,30,18,6,6,16,-1,"No",2024,TRUE,"East","CLE"
"14",22300067,"2023-10-25","regular",1610612739,"CLE","BKN","CLE",48,114,44,94,46.8,17,43,39.5,9,10,90,9,29,38,25,10,10,6,23,1,"Yes",2024,FALSE,"East","BKN"
"15",22300068,"2023-10-25","regular",1610612765,"DET","MIA","DET",48,102,41,92,44.6,11,32,34.4,9,15,60,17,39,56,28,17,3,13,23,-1,"No",2024,FALSE,"East","MIA"
"16",22300068,"2023-10-25","regular",1610612748,"MIA","MIA","DET",48,103,37,92,40.2,8,22,36.4,21,26,80.8,16,32,48,22,7,11,3,18,1,"Yes",2024,TRUE,"East","DET"
"17",22300069,"2023-10-25","regular",1610612750,"MIN","TOR","MIN",48,94,34,100,34,8,31,25.8,18,22,81.8,16,46,62,20,14,8,9,14,-3,"No",2024,FALSE,"West","TOR"
"18",22300069,"2023-10-25","regular",1610612761,"TOR","TOR","MIN",48,97,36,90,40,14,35,40,11,16,68.8,8,39,47,27,14,9,11,18,3,"Yes",2024,TRUE,"East","MIN"
"19",22300070,"2023-10-25","regular",1610612741,"CHI","CHI","OKC",48,104,39,94,41.5,12,42,28.6,14,18,77.8,13,29,42,26,13,10,3,16,-20,"No",2024,TRUE,"East","OKC"
"20",22300070,"2023-10-25","regular",1610612760,"OKC","CHI","OKC",48,124,45,82,54.9,19,39,48.7,15,18,83.3,5,38,43,30,16,6,4,19,20,"Yes",2024,FALSE,"West","CHI"
"21",22300071,"2023-10-25","regular",1610612763,"MEM","MEM","NOP",48,104,38,91,41.8,12,43,27.9,16,20,80,8,29,37,23,13,8,7,19,-7,"No",2024,TRUE,"West","NOP"
"22",22300071,"2023-10-25","regular",1610612740,"NOP","MEM","NOP",48,111,40,85,47.1,14,32,43.8,17,22,77.3,11,41,52,22,21,8,5,21,7,"Yes",2024,FALSE,"West","MEM"
"23",22300072,"2023-10-25","regular",1610612758,"SAC","UTA","SAC",48,130,47,102,46.1,19,51,37.3,17,20,85,15,30,45,29,12,6,8,25,16,"Yes",2024,FALSE,"West","UTA"
"24",22300072,"2023-10-25","regular",1610612762,"UTA","UTA","SAC",48,114,41,91,45.1,9,28,32.1,23,31,74.2,16,38,54,22,14,6,2,20,-16,"No",2024,TRUE,"West","SAC"
"25",22300073,"2023-10-25","regular",1610612742,"DAL","SAS","DAL",48,126,47,99,47.5,15,47,31.9,17,23,73.9,13,35,48,24,12,6,3,20,7,"Yes",2024,FALSE,"West","SAS"
"26",22300073,"2023-10-25","regular",1610612759,"SAS","SAS","DAL",48,119,46,89,51.7,11,35,31.4,16,22,72.7,9,36,45,33,19,8,5,23,-7,"No",2024,TRUE,"West","DAL"
"27",22300074,"2023-10-25","regular",1610612746,"LAC","LAC","POR",48,123,47,90,52.2,16,34,47.1,13,16,81.3,14,31,45,36,18,11,7,20,12,"Yes",2024,TRUE,"West","POR"
"28",22300074,"2023-10-25","regular",1610612757,"POR","LAC","POR",48,111,44,93,47.3,10,32,31.3,13,17,76.5,15,25,40,20,18,10,4,20,-12,"No",2024,FALSE,"West","LAC"
"29",22300075,"2023-10-26","regular",1610612749,"MIL","MIL","PHI",48,118,41,81,50.6,11,30,36.7,25,36,69.4,8,35,43,20,14,9,4,23,1,"Yes",2024,TRUE,"East","PHI"
"30",22300075,"2023-10-26","regular",1610612755,"PHI","MIL","PHI",48,117,41,80,51.3,16,35,45.7,19,28,67.9,4,35,39,25,15,8,4,28,-1,"No",2024,FALSE,"East","MIL"
"31",22300076,"2023-10-26","regular",1610612747,"LAL","LAL","PHX",48,100,36,84,42.9,5,29,17.2,23,29,79.3,8,34,42,24,16,14,7,23,5,"Yes",2024,TRUE,"West","PHX"
"32",22300076,"2023-10-26","regular",1610612756,"PHX","LAL","PHX",48,95,34,81,42,9,31,29,18,23,78.3,10,39,49,16,24,7,3,21,-5,"No",2024,FALSE,"West","LAL"
"33",22300077,"2023-10-27","regular",1610612766,"CHA","CHA","DET",48,99,33,88,37.5,7,28,25,26,34,76.5,11,30,41,20,18,13,7,23,-12,"No",2024,TRUE,"East","DET"
"34",22300077,"2023-10-27","regular",1610612765,"DET","CHA","DET",48,111,40,88,45.5,10,30,33.3,21,25,84,12,41,53,28,24,7,6,29,12,"Yes",2024,FALSE,"East","CHA"
"35",22300078,"2023-10-27","regular",1610612743,"DEN","MEM","DEN",48,108,41,88,46.6,14,37,37.8,12,18,66.7,6,33,39,27,19,11,9,18,4,"Yes",2024,FALSE,"West","MEM"
"36",22300078,"2023-10-27","regular",1610612763,"MEM","MEM","DEN",48,104,37,84,44,10,33,30.3,20,24,83.3,13,35,48,22,21,13,7,23,-4,"No",2024,TRUE,"West","DEN"
"37",22300079,"2023-10-27","regular",1610612737,"ATL","ATL","NYK",48,120,42,87,48.3,12,32,37.5,24,30,80,9,35,44,28,14,7,6,20,-6,"No",2024,TRUE,"East","NYK"
"38",22300079,"2023-10-27","regular",1610612752,"NYK","ATL","NYK",48,126,43,90,47.8,20,44,45.5,20,28,71.4,12,33,45,30,16,9,6,21,6,"Yes",2024,FALSE,"East","ATL"
"39",22300080,"2023-10-27","regular",1610612738,"BOS","BOS","MIA",48,119,45,95,47.4,16,39,41,13,19,68.4,16,39,55,20,15,7,6,19,8,"Yes",2024,TRUE,"East","MIA"
"40",22300080,"2023-10-27","regular",1610612748,"MIA","BOS","MIA",48,111,38,89,42.7,16,33,48.5,19,23,82.6,11,34,45,24,12,8,6,16,-8,"No",2024,FALSE,"East","BOS"
"41",22300081,"2023-10-27","regular",1610612739,"CLE","CLE","OKC",48,105,38,92,41.3,12,45,26.7,17,23,73.9,8,40,48,20,14,10,8,16,-3,"No",2024,TRUE,"East","OKC"
"42",22300081,"2023-10-27","regular",1610612760,"OKC","CLE","OKC",48,108,40,87,46,13,26,50,15,19,78.9,6,41,47,22,18,8,10,17,3,"Yes",2024,FALSE,"West","CLE"
"43",22300082,"2023-10-27","regular",1610612741,"CHI","CHI","TOR",53,104,37,99,37.4,8,39,20.5,22,28,78.6,15,37,52,18,17,10,5,22,1,"Yes",2024,TRUE,"East","TOR"
"44",22300082,"2023-10-27","regular",1610612761,"TOR","CHI","TOR",53,103,39,84,46.4,9,36,25,16,25,64,8,45,53,25,23,5,2,29,-1,"No",2024,FALSE,"East","CHI"
"45",22300083,"2023-10-27","regular",1610612745,"HOU","SAS","HOU",53,122,52,100,52,8,32,25,10,20,50,11,32,43,30,18,7,2,26,-4,"No",2024,FALSE,"West","SAS"
